ds,timestamp,y_gt
2020-08-19 00:00:00,2020-08-19 00:00:00,22592
2020-08-19 00:30:00,2020-08-19 00:30:00,21918
2020-08-19 01:00:00,2020-08-19 01:00:00,21726
2020-08-19 01:30:00,2020-08-19 01:30:00,21567
2020-08-19 02:00:00,2020-08-19 02:00:00,21197
2020-08-19 02:30:00,2020-08-19 02:30:00,20944
2020-08-19 03:00:00,2020-08-19 03:00:00,20738
2020-08-19 03:30:00,2020-08-19 03:30:00,20662
2020-08-19 04:00:00,2020-08-19 04:00:00,20676
2020-08-19 04:30:00,2020-08-19 04:30:00,20693
2020-08-19 05:00:00,2020-08-19 05:00:00,21199
2020-08-19 05:30:00,2020-08-19 05:30:00,21812
2020-08-19 06:00:00,2020-08-19 06:00:00,23713
2020-08-19 06:30:00,2020-08-19 06:30:00,24955
2020-08-19 07:00:00,2020-08-19 07:00:00,26085
2020-08-19 07:30:00,2020-08-19 07:30:00,27613
2020-08-19 08:00:00,2020-08-19 08:00:00,29019
2020-08-19 08:30:00,2020-08-19 08:30:00,29734
2020-08-19 09:00:00,2020-08-19 09:00:00,30151
2020-08-19 09:30:00,2020-08-19 09:30:00,30523
2020-08-19 10:00:00,2020-08-19 10:00:00,30777
2020-08-19 10:30:00,2020-08-19 10:30:00,30978
2020-08-19 11:00:00,2020-08-19 11:00:00,31063
2020-08-19 11:30:00,2020-08-19 11:30:00,31163
2020-08-19 12:00:00,2020-08-19 12:00:00,31767
2020-08-19 12:30:00,2020-08-19 12:30:00,31599
2020-08-19 13:00:00,2020-08-19 13:00:00,31399
2020-08-19 13:30:00,2020-08-19 13:30:00,31213
2020-08-19 14:00:00,2020-08-19 14:00:00,31075
2020-08-19 14:30:00,2020-08-19 14:30:00,31213
2020-08-19 15:00:00,2020-08-19 15:00:00,31020
2020-08-19 15:30:00,2020-08-19 15:30:00,31129
2020-08-19 16:00:00,2020-08-19 16:00:00,31311
2020-08-19 16:30:00,2020-08-19 16:30:00,31690
2020-08-19 17:00:00,2020-08-19 17:00:00,32416
2020-08-19 17:30:00,2020-08-19 17:30:00,32652
2020-08-19 18:00:00,2020-08-19 18:00:00,32727
2020-08-19 18:30:00,2020-08-19 18:30:00,32292
2020-08-19 19:00:00,2020-08-19 19:00:00,31562
2020-08-19 19:30:00,2020-08-19 19:30:00,31084
2020-08-19 20:00:00,2020-08-19 20:00:00,30748
2020-08-19 20:30:00,2020-08-19 20:30:00,30404
2020-08-19 21:00:00,2020-08-19 21:00:00,29663
2020-08-19 21:30:00,2020-08-19 21:30:00,27939
2020-08-19 22:00:00,2020-08-19 22:00:00,27484
2020-08-19 22:30:00,2020-08-19 22:30:00,25590
2020-08-19 23:00:00,2020-08-19 23:00:00,23936
2020-08-19 23:30:00,2020-08-19 23:30:00,23104
