ds,date,y_gt
2020-08-10 00:00:00,20200810,21817
2020-08-10 00:30:00,20200810,21362
2020-08-10 01:00:00,20200810,21164
2020-08-10 01:30:00,20200810,21127
2020-08-10 02:00:00,20200810,20954
2020-08-10 02:30:00,20200810,20655
2020-08-10 03:00:00,20200810,20348
2020-08-10 03:30:00,20200810,20332
2020-08-10 04:00:00,20200810,20229
2020-08-10 04:30:00,20200810,20508
2020-08-10 05:00:00,20200810,20108
2020-08-10 05:30:00,20200810,20642
2020-08-10 06:00:00,20200810,22930
2020-08-10 06:30:00,20200810,24417
2020-08-10 07:00:00,20200810,26037
2020-08-10 07:30:00,20200810,27130
2020-08-10 08:00:00,20200810,28136
2020-08-10 08:30:00,20200810,28717
2020-08-10 09:00:00,20200810,29334
2020-08-10 09:30:00,20200810,29073
2020-08-10 10:00:00,20200810,28827
2020-08-10 10:30:00,20200810,28669
2020-08-10 11:00:00,20200810,28412
2020-08-10 11:30:00,20200810,28166
2020-08-10 12:00:00,20200810,28376
2020-08-10 12:30:00,20200810,28492
2020-08-10 13:00:00,20200810,28311
2020-08-10 13:30:00,20200810,28229
2020-08-10 14:00:00,20200810,28153
2020-08-10 14:30:00,20200810,28181
2020-08-10 15:00:00,20200810,28251
2020-08-10 15:30:00,20200810,28318
2020-08-10 16:00:00,20200810,29415
2020-08-10 16:30:00,20200810,30578
2020-08-10 17:00:00,20200810,31690
2020-08-10 17:30:00,20200810,32289
2020-08-10 18:00:00,20200810,32170
2020-08-10 18:30:00,20200810,32262
2020-08-10 19:00:00,20200810,31962
2020-08-10 19:30:00,20200810,31498
2020-08-10 20:00:00,20200810,31249
2020-08-10 20:30:00,20200810,31024
2020-08-10 21:00:00,20200810,31180
2020-08-10 21:30:00,20200810,30293
2020-08-10 22:00:00,20200810,29812
2020-08-10 22:30:00,20200810,28503
2020-08-10 23:00:00,20200810,25617
2020-08-10 23:30:00,20200810,24112
