ds,timestamp,y_gt
2020-10-13 00:00:00,2020-10-13 00:00:00,23664
2020-10-13 00:30:00,2020-10-13 00:30:00,23324
2020-10-13 01:00:00,2020-10-13 01:00:00,23344
2020-10-13 01:30:00,2020-10-13 01:30:00,23266
2020-10-13 02:00:00,2020-10-13 02:00:00,23312
2020-10-13 02:30:00,2020-10-13 02:30:00,23239
2020-10-13 03:00:00,2020-10-13 03:00:00,23407
2020-10-13 03:30:00,2020-10-13 03:30:00,23151
2020-10-13 04:00:00,2020-10-13 04:00:00,22795
2020-10-13 04:30:00,2020-10-13 04:30:00,22843
2020-10-13 05:00:00,2020-10-13 05:00:00,23244
2020-10-13 05:30:00,2020-10-13 05:30:00,24043
2020-10-13 06:00:00,2020-10-13 06:00:00,26819
2020-10-13 06:30:00,2020-10-13 06:30:00,29499
2020-10-13 07:00:00,2020-10-13 07:00:00,32160
2020-10-13 07:30:00,2020-10-13 07:30:00,33604
2020-10-13 08:00:00,2020-10-13 08:00:00,34880
2020-10-13 08:30:00,2020-10-13 08:30:00,34831
2020-10-13 09:00:00,2020-10-13 09:00:00,34877
2020-10-13 09:30:00,2020-10-13 09:30:00,34612
2020-10-13 10:00:00,2020-10-13 10:00:00,34276
2020-10-13 10:30:00,2020-10-13 10:30:00,34058
2020-10-13 11:00:00,2020-10-13 11:00:00,33865
2020-10-13 11:30:00,2020-10-13 11:30:00,33802
2020-10-13 12:00:00,2020-10-13 12:00:00,34161
2020-10-13 12:30:00,2020-10-13 12:30:00,34181
2020-10-13 13:00:00,2020-10-13 13:00:00,33892
2020-10-13 13:30:00,2020-10-13 13:30:00,33682
2020-10-13 14:00:00,2020-10-13 14:00:00,33619
2020-10-13 14:30:00,2020-10-13 14:30:00,33432
2020-10-13 15:00:00,2020-10-13 15:00:00,33727
2020-10-13 15:30:00,2020-10-13 15:30:00,34338
2020-10-13 16:00:00,2020-10-13 16:00:00,35541
2020-10-13 16:30:00,2020-10-13 16:30:00,36424
2020-10-13 17:00:00,2020-10-13 17:00:00,37997
2020-10-13 17:30:00,2020-10-13 17:30:00,38390
2020-10-13 18:00:00,2020-10-13 18:00:00,38525
2020-10-13 18:30:00,2020-10-13 18:30:00,38704
2020-10-13 19:00:00,2020-10-13 19:00:00,38316
2020-10-13 19:30:00,2020-10-13 19:30:00,37453
2020-10-13 20:00:00,2020-10-13 20:00:00,35827
2020-10-13 20:30:00,2020-10-13 20:30:00,33823
2020-10-13 21:00:00,2020-10-13 21:00:00,32370
2020-10-13 21:30:00,2020-10-13 21:30:00,30560
2020-10-13 22:00:00,2020-10-13 22:00:00,28677
2020-10-13 22:30:00,2020-10-13 22:30:00,26621
2020-10-13 23:00:00,2020-10-13 23:00:00,25057
2020-10-13 23:30:00,2020-10-13 23:30:00,24352
