ds,timestamp,y_gt
2020-11-28 00:00:00,2020-11-28 00:00:00,26977
2020-11-28 00:30:00,2020-11-28 00:30:00,27026
2020-11-28 01:00:00,2020-11-28 01:00:00,27090
2020-11-28 01:30:00,2020-11-28 01:30:00,26216
2020-11-28 02:00:00,2020-11-28 02:00:00,26040
2020-11-28 02:30:00,2020-11-28 02:30:00,26179
2020-11-28 03:00:00,2020-11-28 03:00:00,25543
2020-11-28 03:30:00,2020-11-28 03:30:00,25083
2020-11-28 04:00:00,2020-11-28 04:00:00,24823
2020-11-28 04:30:00,2020-11-28 04:30:00,24685
2020-11-28 05:00:00,2020-11-28 05:00:00,24782
2020-11-28 05:30:00,2020-11-28 05:30:00,25284
2020-11-28 06:00:00,2020-11-28 06:00:00,26379
2020-11-28 06:30:00,2020-11-28 06:30:00,27292
2020-11-28 07:00:00,2020-11-28 07:00:00,27956
2020-11-28 07:30:00,2020-11-28 07:30:00,28662
2020-11-28 08:00:00,2020-11-28 08:00:00,30360
2020-11-28 08:30:00,2020-11-28 08:30:00,31732
2020-11-28 09:00:00,2020-11-28 09:00:00,33110
2020-11-28 09:30:00,2020-11-28 09:30:00,33745
2020-11-28 10:00:00,2020-11-28 10:00:00,34569
2020-11-28 10:30:00,2020-11-28 10:30:00,34838
2020-11-28 11:00:00,2020-11-28 11:00:00,34807
2020-11-28 11:30:00,2020-11-28 11:30:00,34953
2020-11-28 12:00:00,2020-11-28 12:00:00,35362
2020-11-28 12:30:00,2020-11-28 12:30:00,35545
2020-11-28 13:00:00,2020-11-28 13:00:00,35311
2020-11-28 13:30:00,2020-11-28 13:30:00,35274
2020-11-28 14:00:00,2020-11-28 14:00:00,35119
2020-11-28 14:30:00,2020-11-28 14:30:00,35277
2020-11-28 15:00:00,2020-11-28 15:00:00,35821
2020-11-28 15:30:00,2020-11-28 15:30:00,36474
2020-11-28 16:00:00,2020-11-28 16:00:00,38099
2020-11-28 16:30:00,2020-11-28 16:30:00,39075
2020-11-28 17:00:00,2020-11-28 17:00:00,40281
2020-11-28 17:30:00,2020-11-28 17:30:00,40342
2020-11-28 18:00:00,2020-11-28 18:00:00,39910
2020-11-28 18:30:00,2020-11-28 18:30:00,38948
2020-11-28 19:00:00,2020-11-28 19:00:00,37701
2020-11-28 19:30:00,2020-11-28 19:30:00,36770
2020-11-28 20:00:00,2020-11-28 20:00:00,35296
2020-11-28 20:30:00,2020-11-28 20:30:00,34234
2020-11-28 21:00:00,2020-11-28 21:00:00,32810
2020-11-28 21:30:00,2020-11-28 21:30:00,31773
2020-11-28 22:00:00,2020-11-28 22:00:00,30316
2020-11-28 22:30:00,2020-11-28 22:30:00,29142
2020-11-28 23:00:00,2020-11-28 23:00:00,27605
2020-11-28 23:30:00,2020-11-28 23:30:00,26597
