ds,timestamp,y_gt
2020-09-14 00:00:00,2020-09-14 00:00:00,20663
2020-09-14 00:30:00,2020-09-14 00:30:00,20164
2020-09-14 01:00:00,2020-09-14 01:00:00,20166
2020-09-14 01:30:00,2020-09-14 01:30:00,19923
2020-09-14 02:00:00,2020-09-14 02:00:00,20194
2020-09-14 02:30:00,2020-09-14 02:30:00,19683
2020-09-14 03:00:00,2020-09-14 03:00:00,19627
2020-09-14 03:30:00,2020-09-14 03:30:00,19530
2020-09-14 04:00:00,2020-09-14 04:00:00,19483
2020-09-14 04:30:00,2020-09-14 04:30:00,20117
2020-09-14 05:00:00,2020-09-14 05:00:00,22478
2020-09-14 05:30:00,2020-09-14 05:30:00,23814
2020-09-14 06:00:00,2020-09-14 06:00:00,25678
2020-09-14 06:30:00,2020-09-14 06:30:00,27623
2020-09-14 07:00:00,2020-09-14 07:00:00,29981
2020-09-14 07:30:00,2020-09-14 07:30:00,31218
2020-09-14 08:00:00,2020-09-14 08:00:00,29885
2020-09-14 08:30:00,2020-09-14 08:30:00,29479
2020-09-14 09:00:00,2020-09-14 09:00:00,30085
2020-09-14 09:30:00,2020-09-14 09:30:00,29680
2020-09-14 10:00:00,2020-09-14 10:00:00,30230
2020-09-14 10:30:00,2020-09-14 10:30:00,30046
2020-09-14 11:00:00,2020-09-14 11:00:00,29689
2020-09-14 11:30:00,2020-09-14 11:30:00,29705
2020-09-14 12:00:00,2020-09-14 12:00:00,29578
2020-09-14 12:30:00,2020-09-14 12:30:00,29254
2020-09-14 13:00:00,2020-09-14 13:00:00,29080
2020-09-14 13:30:00,2020-09-14 13:30:00,28846
2020-09-14 14:00:00,2020-09-14 14:00:00,28797
2020-09-14 14:30:00,2020-09-14 14:30:00,28842
2020-09-14 15:00:00,2020-09-14 15:00:00,27996
2020-09-14 15:30:00,2020-09-14 15:30:00,28688
2020-09-14 16:00:00,2020-09-14 16:00:00,29241
2020-09-14 16:30:00,2020-09-14 16:30:00,30677
2020-09-14 17:00:00,2020-09-14 17:00:00,31886
2020-09-14 17:30:00,2020-09-14 17:30:00,32818
2020-09-14 18:00:00,2020-09-14 18:00:00,33122
2020-09-14 18:30:00,2020-09-14 18:30:00,33234
2020-09-14 19:00:00,2020-09-14 19:00:00,33323
2020-09-14 19:30:00,2020-09-14 19:30:00,33937
2020-09-14 20:00:00,2020-09-14 20:00:00,33469
2020-09-14 20:30:00,2020-09-14 20:30:00,32122
2020-09-14 21:00:00,2020-09-14 21:00:00,30980
2020-09-14 21:30:00,2020-09-14 21:30:00,29540
2020-09-14 22:00:00,2020-09-14 22:00:00,29627
2020-09-14 22:30:00,2020-09-14 22:30:00,28427
2020-09-14 23:00:00,2020-09-14 23:00:00,27628
2020-09-14 23:30:00,2020-09-14 23:30:00,27130
