ds,timestamp,y_gt
2020-11-06 00:00:00,2020-11-06 00:00:00,26356
2020-11-06 00:30:00,2020-11-06 00:30:00,26251
2020-11-06 01:00:00,2020-11-06 01:00:00,26133
2020-11-06 01:30:00,2020-11-06 01:30:00,26223
2020-11-06 02:00:00,2020-11-06 02:00:00,25903
2020-11-06 02:30:00,2020-11-06 02:30:00,25779
2020-11-06 03:00:00,2020-11-06 03:00:00,25446
2020-11-06 03:30:00,2020-11-06 03:30:00,24984
2020-11-06 04:00:00,2020-11-06 04:00:00,24803
2020-11-06 04:30:00,2020-11-06 04:30:00,24873
2020-11-06 05:00:00,2020-11-06 05:00:00,25252
2020-11-06 05:30:00,2020-11-06 05:30:00,25871
2020-11-06 06:00:00,2020-11-06 06:00:00,28384
2020-11-06 06:30:00,2020-11-06 06:30:00,30724
2020-11-06 07:00:00,2020-11-06 07:00:00,33578
2020-11-06 07:30:00,2020-11-06 07:30:00,34615
2020-11-06 08:00:00,2020-11-06 08:00:00,35513
2020-11-06 08:30:00,2020-11-06 08:30:00,35444
2020-11-06 09:00:00,2020-11-06 09:00:00,35433
2020-11-06 09:30:00,2020-11-06 09:30:00,34955
2020-11-06 10:00:00,2020-11-06 10:00:00,34443
2020-11-06 10:30:00,2020-11-06 10:30:00,34141
2020-11-06 11:00:00,2020-11-06 11:00:00,34091
2020-11-06 11:30:00,2020-11-06 11:30:00,33712
2020-11-06 12:00:00,2020-11-06 12:00:00,33930
2020-11-06 12:30:00,2020-11-06 12:30:00,33785
2020-11-06 13:00:00,2020-11-06 13:00:00,33917
2020-11-06 13:30:00,2020-11-06 13:30:00,33795
2020-11-06 14:00:00,2020-11-06 14:00:00,33947
2020-11-06 14:30:00,2020-11-06 14:30:00,34283
2020-11-06 15:00:00,2020-11-06 15:00:00,35080
2020-11-06 15:30:00,2020-11-06 15:30:00,36493
2020-11-06 16:00:00,2020-11-06 16:00:00,38062
2020-11-06 16:30:00,2020-11-06 16:30:00,40760
2020-11-06 17:00:00,2020-11-06 17:00:00,42891
2020-11-06 17:30:00,2020-11-06 17:30:00,42798
2020-11-06 18:00:00,2020-11-06 18:00:00,42166
2020-11-06 18:30:00,2020-11-06 18:30:00,41288
2020-11-06 19:00:00,2020-11-06 19:00:00,39480
2020-11-06 19:30:00,2020-11-06 19:30:00,38128
2020-11-06 20:00:00,2020-11-06 20:00:00,36310
2020-11-06 20:30:00,2020-11-06 20:30:00,34503
2020-11-06 21:00:00,2020-11-06 21:00:00,32965
2020-11-06 21:30:00,2020-11-06 21:30:00,31427
2020-11-06 22:00:00,2020-11-06 22:00:00,29728
2020-11-06 22:30:00,2020-11-06 22:30:00,28334
2020-11-06 23:00:00,2020-11-06 23:00:00,26885
2020-11-06 23:30:00,2020-11-06 23:30:00,25990
