ds,timestamp,y_gt
2020-09-15 00:00:00,2020-09-15 00:00:00,26861
2020-09-15 00:30:00,2020-09-15 00:30:00,26661
2020-09-15 01:00:00,2020-09-15 01:00:00,26082
2020-09-15 01:30:00,2020-09-15 01:30:00,25916
2020-09-15 02:00:00,2020-09-15 02:00:00,25152
2020-09-15 02:30:00,2020-09-15 02:30:00,24773
2020-09-15 03:00:00,2020-09-15 03:00:00,25406
2020-09-15 03:30:00,2020-09-15 03:30:00,25396
2020-09-15 04:00:00,2020-09-15 04:00:00,25785
2020-09-15 04:30:00,2020-09-15 04:30:00,26013
2020-09-15 05:00:00,2020-09-15 05:00:00,25972
2020-09-15 05:30:00,2020-09-15 05:30:00,26396
2020-09-15 06:00:00,2020-09-15 06:00:00,26488
2020-09-15 06:30:00,2020-09-15 06:30:00,28352
2020-09-15 07:00:00,2020-09-15 07:00:00,29767
2020-09-15 07:30:00,2020-09-15 07:30:00,31046
2020-09-15 08:00:00,2020-09-15 08:00:00,31407
2020-09-15 08:30:00,2020-09-15 08:30:00,31352
2020-09-15 09:00:00,2020-09-15 09:00:00,31535
2020-09-15 09:30:00,2020-09-15 09:30:00,31298
2020-09-15 10:00:00,2020-09-15 10:00:00,31669
2020-09-15 10:30:00,2020-09-15 10:30:00,31224
2020-09-15 11:00:00,2020-09-15 11:00:00,31571
2020-09-15 11:30:00,2020-09-15 11:30:00,31517
2020-09-15 12:00:00,2020-09-15 12:00:00,31169
2020-09-15 12:30:00,2020-09-15 12:30:00,31046
2020-09-15 13:00:00,2020-09-15 13:00:00,30759
2020-09-15 13:30:00,2020-09-15 13:30:00,30574
2020-09-15 14:00:00,2020-09-15 14:00:00,30688
2020-09-15 14:30:00,2020-09-15 14:30:00,30922
2020-09-15 15:00:00,2020-09-15 15:00:00,30802
2020-09-15 15:30:00,2020-09-15 15:30:00,31596
2020-09-15 16:00:00,2020-09-15 16:00:00,32178
2020-09-15 16:30:00,2020-09-15 16:30:00,33224
2020-09-15 17:00:00,2020-09-15 17:00:00,33900
2020-09-15 17:30:00,2020-09-15 17:30:00,34355
2020-09-15 18:00:00,2020-09-15 18:00:00,34391
2020-09-15 18:30:00,2020-09-15 18:30:00,34174
2020-09-15 19:00:00,2020-09-15 19:00:00,34218
2020-09-15 19:30:00,2020-09-15 19:30:00,34638
2020-09-15 20:00:00,2020-09-15 20:00:00,34059
2020-09-15 20:30:00,2020-09-15 20:30:00,33289
2020-09-15 21:00:00,2020-09-15 21:00:00,32208
2020-09-15 21:30:00,2020-09-15 21:30:00,30629
2020-09-15 22:00:00,2020-09-15 22:00:00,29457
2020-09-15 22:30:00,2020-09-15 22:30:00,27849
2020-09-15 23:00:00,2020-09-15 23:00:00,27572
2020-09-15 23:30:00,2020-09-15 23:30:00,26296
