ds,timestamp,y_gt
2020-11-27 00:00:00,2020-11-27 00:00:00,29027
2020-11-27 00:30:00,2020-11-27 00:30:00,28900
2020-11-27 01:00:00,2020-11-27 01:00:00,28885
2020-11-27 01:30:00,2020-11-27 01:30:00,28287
2020-11-27 02:00:00,2020-11-27 02:00:00,27790
2020-11-27 02:30:00,2020-11-27 02:30:00,27578
2020-11-27 03:00:00,2020-11-27 03:00:00,27177
2020-11-27 03:30:00,2020-11-27 03:30:00,26660
2020-11-27 04:00:00,2020-11-27 04:00:00,26433
2020-11-27 04:30:00,2020-11-27 04:30:00,26675
2020-11-27 05:00:00,2020-11-27 05:00:00,28036
2020-11-27 05:30:00,2020-11-27 05:30:00,28964
2020-11-27 06:00:00,2020-11-27 06:00:00,31776
2020-11-27 06:30:00,2020-11-27 06:30:00,34089
2020-11-27 07:00:00,2020-11-27 07:00:00,36208
2020-11-27 07:30:00,2020-11-27 07:30:00,37722
2020-11-27 08:00:00,2020-11-27 08:00:00,38052
2020-11-27 08:30:00,2020-11-27 08:30:00,38439
2020-11-27 09:00:00,2020-11-27 09:00:00,38839
2020-11-27 09:30:00,2020-11-27 09:30:00,38971
2020-11-27 10:00:00,2020-11-27 10:00:00,39224
2020-11-27 10:30:00,2020-11-27 10:30:00,38957
2020-11-27 11:00:00,2020-11-27 11:00:00,39024
2020-11-27 11:30:00,2020-11-27 11:30:00,39013
2020-11-27 12:00:00,2020-11-27 12:00:00,39313
2020-11-27 12:30:00,2020-11-27 12:30:00,39238
2020-11-27 13:00:00,2020-11-27 13:00:00,39315
2020-11-27 13:30:00,2020-11-27 13:30:00,39069
2020-11-27 14:00:00,2020-11-27 14:00:00,38949
2020-11-27 14:30:00,2020-11-27 14:30:00,38954
2020-11-27 15:00:00,2020-11-27 15:00:00,39416
2020-11-27 15:30:00,2020-11-27 15:30:00,40546
2020-11-27 16:00:00,2020-11-27 16:00:00,41609
2020-11-27 16:30:00,2020-11-27 16:30:00,42565
2020-11-27 17:00:00,2020-11-27 17:00:00,43271
2020-11-27 17:30:00,2020-11-27 17:30:00,43303
2020-11-27 18:00:00,2020-11-27 18:00:00,42559
2020-11-27 18:30:00,2020-11-27 18:30:00,41753
2020-11-27 19:00:00,2020-11-27 19:00:00,40452
2020-11-27 19:30:00,2020-11-27 19:30:00,39125
2020-11-27 20:00:00,2020-11-27 20:00:00,37775
2020-11-27 20:30:00,2020-11-27 20:30:00,36403
2020-11-27 21:00:00,2020-11-27 21:00:00,34744
2020-11-27 21:30:00,2020-11-27 21:30:00,33096
2020-11-27 22:00:00,2020-11-27 22:00:00,31309
2020-11-27 22:30:00,2020-11-27 22:30:00,29871
2020-11-27 23:00:00,2020-11-27 23:00:00,28309
2020-11-27 23:30:00,2020-11-27 23:30:00,27238
