ds,timestamp,y_gt
2020-10-03 00:00:00,2020-10-03 00:00:00,22122
2020-10-03 00:30:00,2020-10-03 00:30:00,21637
2020-10-03 01:00:00,2020-10-03 01:00:00,21533
2020-10-03 01:30:00,2020-10-03 01:30:00,21725
2020-10-03 02:00:00,2020-10-03 02:00:00,22242
2020-10-03 02:30:00,2020-10-03 02:30:00,22121
2020-10-03 03:00:00,2020-10-03 03:00:00,21946
2020-10-03 03:30:00,2020-10-03 03:30:00,21674
2020-10-03 04:00:00,2020-10-03 04:00:00,21358
2020-10-03 04:30:00,2020-10-03 04:30:00,21134
2020-10-03 05:00:00,2020-10-03 05:00:00,20840
2020-10-03 05:30:00,2020-10-03 05:30:00,20737
2020-10-03 06:00:00,2020-10-03 06:00:00,21754
2020-10-03 06:30:00,2020-10-03 06:30:00,22657
2020-10-03 07:00:00,2020-10-03 07:00:00,24646
2020-10-03 07:30:00,2020-10-03 07:30:00,26141
2020-10-03 08:00:00,2020-10-03 08:00:00,27546
2020-10-03 08:30:00,2020-10-03 08:30:00,28870
2020-10-03 09:00:00,2020-10-03 09:00:00,29888
2020-10-03 09:30:00,2020-10-03 09:30:00,30538
2020-10-03 10:00:00,2020-10-03 10:00:00,31360
2020-10-03 10:30:00,2020-10-03 10:30:00,31885
2020-10-03 11:00:00,2020-10-03 11:00:00,32241
2020-10-03 11:30:00,2020-10-03 11:30:00,32535
2020-10-03 12:00:00,2020-10-03 12:00:00,32542
2020-10-03 12:30:00,2020-10-03 12:30:00,32478
2020-10-03 13:00:00,2020-10-03 13:00:00,31937
2020-10-03 13:30:00,2020-10-03 13:30:00,31335
2020-10-03 14:00:00,2020-10-03 14:00:00,31149
2020-10-03 14:30:00,2020-10-03 14:30:00,30903
2020-10-03 15:00:00,2020-10-03 15:00:00,30931
2020-10-03 15:30:00,2020-10-03 15:30:00,31093
2020-10-03 16:00:00,2020-10-03 16:00:00,31774
2020-10-03 16:30:00,2020-10-03 16:30:00,32744
2020-10-03 17:00:00,2020-10-03 17:00:00,33740
2020-10-03 17:30:00,2020-10-03 17:30:00,34184
2020-10-03 18:00:00,2020-10-03 18:00:00,34583
2020-10-03 18:30:00,2020-10-03 18:30:00,34988
2020-10-03 19:00:00,2020-10-03 19:00:00,34565
2020-10-03 19:30:00,2020-10-03 19:30:00,33657
2020-10-03 20:00:00,2020-10-03 20:00:00,32185
2020-10-03 20:30:00,2020-10-03 20:30:00,30453
2020-10-03 21:00:00,2020-10-03 21:00:00,29426
2020-10-03 21:30:00,2020-10-03 21:30:00,28257
2020-10-03 22:00:00,2020-10-03 22:00:00,26817
2020-10-03 22:30:00,2020-10-03 22:30:00,25308
2020-10-03 23:00:00,2020-10-03 23:00:00,24420
2020-10-03 23:30:00,2020-10-03 23:30:00,23526
