ds,timestamp,y_gt
2020-10-02 00:00:00,2020-10-02 00:00:00,23189
2020-10-02 00:30:00,2020-10-02 00:30:00,22432
2020-10-02 01:00:00,2020-10-02 01:00:00,22224
2020-10-02 01:30:00,2020-10-02 01:30:00,22344
2020-10-02 02:00:00,2020-10-02 02:00:00,22323
2020-10-02 02:30:00,2020-10-02 02:30:00,22181
2020-10-02 03:00:00,2020-10-02 03:00:00,21849
2020-10-02 03:30:00,2020-10-02 03:30:00,21555
2020-10-02 04:00:00,2020-10-02 04:00:00,21339
2020-10-02 04:30:00,2020-10-02 04:30:00,21331
2020-10-02 05:00:00,2020-10-02 05:00:00,21707
2020-10-02 05:30:00,2020-10-02 05:30:00,22616
2020-10-02 06:00:00,2020-10-02 06:00:00,24904
2020-10-02 06:30:00,2020-10-02 06:30:00,27306
2020-10-02 07:00:00,2020-10-02 07:00:00,29728
2020-10-02 07:30:00,2020-10-02 07:30:00,31826
2020-10-02 08:00:00,2020-10-02 08:00:00,33507
2020-10-02 08:30:00,2020-10-02 08:30:00,33928
2020-10-02 09:00:00,2020-10-02 09:00:00,34735
2020-10-02 09:30:00,2020-10-02 09:30:00,34252
2020-10-02 10:00:00,2020-10-02 10:00:00,34245
2020-10-02 10:30:00,2020-10-02 10:30:00,34304
2020-10-02 11:00:00,2020-10-02 11:00:00,34212
2020-10-02 11:30:00,2020-10-02 11:30:00,34100
2020-10-02 12:00:00,2020-10-02 12:00:00,34051
2020-10-02 12:30:00,2020-10-02 12:30:00,33851
2020-10-02 13:00:00,2020-10-02 13:00:00,33442
2020-10-02 13:30:00,2020-10-02 13:30:00,33024
2020-10-02 14:00:00,2020-10-02 14:00:00,32871
2020-10-02 14:30:00,2020-10-02 14:30:00,32769
2020-10-02 15:00:00,2020-10-02 15:00:00,32265
2020-10-02 15:30:00,2020-10-02 15:30:00,32762
2020-10-02 16:00:00,2020-10-02 16:00:00,33368
2020-10-02 16:30:00,2020-10-02 16:30:00,34230
2020-10-02 17:00:00,2020-10-02 17:00:00,35021
2020-10-02 17:30:00,2020-10-02 17:30:00,35615
2020-10-02 18:00:00,2020-10-02 18:00:00,36058
2020-10-02 18:30:00,2020-10-02 18:30:00,36320
2020-10-02 19:00:00,2020-10-02 19:00:00,36471
2020-10-02 19:30:00,2020-10-02 19:30:00,35391
2020-10-02 20:00:00,2020-10-02 20:00:00,34088
2020-10-02 20:30:00,2020-10-02 20:30:00,32802
2020-10-02 21:00:00,2020-10-02 21:00:00,31118
2020-10-02 21:30:00,2020-10-02 21:30:00,29686
2020-10-02 22:00:00,2020-10-02 22:00:00,27809
2020-10-02 22:30:00,2020-10-02 22:30:00,26314
2020-10-02 23:00:00,2020-10-02 23:00:00,24709
2020-10-02 23:30:00,2020-10-02 23:30:00,23107
