ds,timestamp,y_gt
2020-09-18 00:00:00,2020-09-18 00:00:00,22206
2020-09-18 00:30:00,2020-09-18 00:30:00,21572
2020-09-18 01:00:00,2020-09-18 01:00:00,21601
2020-09-18 01:30:00,2020-09-18 01:30:00,21536
2020-09-18 02:00:00,2020-09-18 02:00:00,21588
2020-09-18 02:30:00,2020-09-18 02:30:00,21161
2020-09-18 03:00:00,2020-09-18 03:00:00,21163
2020-09-18 03:30:00,2020-09-18 03:30:00,21019
2020-09-18 04:00:00,2020-09-18 04:00:00,20987
2020-09-18 04:30:00,2020-09-18 04:30:00,21205
2020-09-18 05:00:00,2020-09-18 05:00:00,20764
2020-09-18 05:30:00,2020-09-18 05:30:00,21570
2020-09-18 06:00:00,2020-09-18 06:00:00,23675
2020-09-18 06:30:00,2020-09-18 06:30:00,25624
2020-09-18 07:00:00,2020-09-18 07:00:00,28245
2020-09-18 07:30:00,2020-09-18 07:30:00,29467
2020-09-18 08:00:00,2020-09-18 08:00:00,30274
2020-09-18 08:30:00,2020-09-18 08:30:00,29958
2020-09-18 09:00:00,2020-09-18 09:00:00,29646
2020-09-18 09:30:00,2020-09-18 09:30:00,28972
2020-09-18 10:00:00,2020-09-18 10:00:00,28158
2020-09-18 10:30:00,2020-09-18 10:30:00,27563
2020-09-18 11:00:00,2020-09-18 11:00:00,27308
2020-09-18 11:30:00,2020-09-18 11:30:00,26636
2020-09-18 12:00:00,2020-09-18 12:00:00,26596
2020-09-18 12:30:00,2020-09-18 12:30:00,26098
2020-09-18 13:00:00,2020-09-18 13:00:00,26506
2020-09-18 13:30:00,2020-09-18 13:30:00,26178
2020-09-18 14:00:00,2020-09-18 14:00:00,25572
2020-09-18 14:30:00,2020-09-18 14:30:00,25639
2020-09-18 15:00:00,2020-09-18 15:00:00,25982
2020-09-18 15:30:00,2020-09-18 15:30:00,26841
2020-09-18 16:00:00,2020-09-18 16:00:00,26901
2020-09-18 16:30:00,2020-09-18 16:30:00,28256
2020-09-18 17:00:00,2020-09-18 17:00:00,29328
2020-09-18 17:30:00,2020-09-18 17:30:00,30282
2020-09-18 18:00:00,2020-09-18 18:00:00,30859
2020-09-18 18:30:00,2020-09-18 18:30:00,31241
2020-09-18 19:00:00,2020-09-18 19:00:00,31812
2020-09-18 19:30:00,2020-09-18 19:30:00,32446
2020-09-18 20:00:00,2020-09-18 20:00:00,31502
2020-09-18 20:30:00,2020-09-18 20:30:00,30215
2020-09-18 21:00:00,2020-09-18 21:00:00,28892
2020-09-18 21:30:00,2020-09-18 21:30:00,27387
2020-09-18 22:00:00,2020-09-18 22:00:00,26583
2020-09-18 22:30:00,2020-09-18 22:30:00,25289
2020-09-18 23:00:00,2020-09-18 23:00:00,23141
2020-09-18 23:30:00,2020-09-18 23:30:00,22059
