ds,timestamp,y_gt
2020-11-22 00:00:00,2020-11-22 00:00:00,23542
2020-11-22 00:30:00,2020-11-22 00:30:00,23779
2020-11-22 01:00:00,2020-11-22 01:00:00,24131
2020-11-22 01:30:00,2020-11-22 01:30:00,23608
2020-11-22 02:00:00,2020-11-22 02:00:00,23444
2020-11-22 02:30:00,2020-11-22 02:30:00,23327
2020-11-22 03:00:00,2020-11-22 03:00:00,22804
2020-11-22 03:30:00,2020-11-22 03:30:00,22529
2020-11-22 04:00:00,2020-11-22 04:00:00,22241
2020-11-22 04:30:00,2020-11-22 04:30:00,22152
2020-11-22 05:00:00,2020-11-22 05:00:00,22572
2020-11-22 05:30:00,2020-11-22 05:30:00,22440
2020-11-22 06:00:00,2020-11-22 06:00:00,23002
2020-11-22 06:30:00,2020-11-22 06:30:00,23530
2020-11-22 07:00:00,2020-11-22 07:00:00,24550
2020-11-22 07:30:00,2020-11-22 07:30:00,24787
2020-11-22 08:00:00,2020-11-22 08:00:00,25637
2020-11-22 08:30:00,2020-11-22 08:30:00,27021
2020-11-22 09:00:00,2020-11-22 09:00:00,28556
2020-11-22 09:30:00,2020-11-22 09:30:00,29188
2020-11-22 10:00:00,2020-11-22 10:00:00,29638
2020-11-22 10:30:00,2020-11-22 10:30:00,29986
2020-11-22 11:00:00,2020-11-22 11:00:00,30208
2020-11-22 11:30:00,2020-11-22 11:30:00,30373
2020-11-22 12:00:00,2020-11-22 12:00:00,30933
2020-11-22 12:30:00,2020-11-22 12:30:00,31225
2020-11-22 13:00:00,2020-11-22 13:00:00,31142
2020-11-22 13:30:00,2020-11-22 13:30:00,31140
2020-11-22 14:00:00,2020-11-22 14:00:00,31387
2020-11-22 14:30:00,2020-11-22 14:30:00,32246
2020-11-22 15:00:00,2020-11-22 15:00:00,33554
2020-11-22 15:30:00,2020-11-22 15:30:00,35301
2020-11-22 16:00:00,2020-11-22 16:00:00,37641
2020-11-22 16:30:00,2020-11-22 16:30:00,40329
2020-11-22 17:00:00,2020-11-22 17:00:00,41153
2020-11-22 17:30:00,2020-11-22 17:30:00,40699
2020-11-22 18:00:00,2020-11-22 18:00:00,39804
2020-11-22 18:30:00,2020-11-22 18:30:00,38696
2020-11-22 19:00:00,2020-11-22 19:00:00,37401
2020-11-22 19:30:00,2020-11-22 19:30:00,35519
2020-11-22 20:00:00,2020-11-22 20:00:00,34102
2020-11-22 20:30:00,2020-11-22 20:30:00,32602
2020-11-22 21:00:00,2020-11-22 21:00:00,31203
2020-11-22 21:30:00,2020-11-22 21:30:00,29566
2020-11-22 22:00:00,2020-11-22 22:00:00,28122
2020-11-22 22:30:00,2020-11-22 22:30:00,26834
2020-11-22 23:00:00,2020-11-22 23:00:00,25327
2020-11-22 23:30:00,2020-11-22 23:30:00,24361
