ds,timestamp,y_gt
2020-11-04 00:00:00,2020-11-04 00:00:00,26784
2020-11-04 00:30:00,2020-11-04 00:30:00,27121
2020-11-04 01:00:00,2020-11-04 01:00:00,27270
2020-11-04 01:30:00,2020-11-04 01:30:00,26861
2020-11-04 02:00:00,2020-11-04 02:00:00,26262
2020-11-04 02:30:00,2020-11-04 02:30:00,26073
2020-11-04 03:00:00,2020-11-04 03:00:00,25419
2020-11-04 03:30:00,2020-11-04 03:30:00,24924
2020-11-04 04:00:00,2020-11-04 04:00:00,24781
2020-11-04 04:30:00,2020-11-04 04:30:00,25301
2020-11-04 05:00:00,2020-11-04 05:00:00,25584
2020-11-04 05:30:00,2020-11-04 05:30:00,26214
2020-11-04 06:00:00,2020-11-04 06:00:00,29260
2020-11-04 06:30:00,2020-11-04 06:30:00,31848
2020-11-04 07:00:00,2020-11-04 07:00:00,35117
2020-11-04 07:30:00,2020-11-04 07:30:00,36604
2020-11-04 08:00:00,2020-11-04 08:00:00,37592
2020-11-04 08:30:00,2020-11-04 08:30:00,37349
2020-11-04 09:00:00,2020-11-04 09:00:00,37190
2020-11-04 09:30:00,2020-11-04 09:30:00,36764
2020-11-04 10:00:00,2020-11-04 10:00:00,36151
2020-11-04 10:30:00,2020-11-04 10:30:00,35445
2020-11-04 11:00:00,2020-11-04 11:00:00,35109
2020-11-04 11:30:00,2020-11-04 11:30:00,34683
2020-11-04 12:00:00,2020-11-04 12:00:00,35094
2020-11-04 12:30:00,2020-11-04 12:30:00,35319
2020-11-04 13:00:00,2020-11-04 13:00:00,35297
2020-11-04 13:30:00,2020-11-04 13:30:00,35518
2020-11-04 14:00:00,2020-11-04 14:00:00,36117
2020-11-04 14:30:00,2020-11-04 14:30:00,36758
2020-11-04 15:00:00,2020-11-04 15:00:00,37631
2020-11-04 15:30:00,2020-11-04 15:30:00,38955
2020-11-04 16:00:00,2020-11-04 16:00:00,40546
2020-11-04 16:30:00,2020-11-04 16:30:00,42641
2020-11-04 17:00:00,2020-11-04 17:00:00,44017
2020-11-04 17:30:00,2020-11-04 17:30:00,44018
2020-11-04 18:00:00,2020-11-04 18:00:00,43484
2020-11-04 18:30:00,2020-11-04 18:30:00,42862
2020-11-04 19:00:00,2020-11-04 19:00:00,42145
2020-11-04 19:30:00,2020-11-04 19:30:00,40756
2020-11-04 20:00:00,2020-11-04 20:00:00,39424
2020-11-04 20:30:00,2020-11-04 20:30:00,38085
2020-11-04 21:00:00,2020-11-04 21:00:00,36317
2020-11-04 21:30:00,2020-11-04 21:30:00,34165
2020-11-04 22:00:00,2020-11-04 22:00:00,32211
2020-11-04 22:30:00,2020-11-04 22:30:00,30436
2020-11-04 23:00:00,2020-11-04 23:00:00,28825
2020-11-04 23:30:00,2020-11-04 23:30:00,27802
