ds,timestamp,y_gt
2020-10-17 00:00:00,2020-10-17 00:00:00,23696
2020-10-17 00:30:00,2020-10-17 00:30:00,23106
2020-10-17 01:00:00,2020-10-17 01:00:00,22996
2020-10-17 01:30:00,2020-10-17 01:30:00,23259
2020-10-17 02:00:00,2020-10-17 02:00:00,23112
2020-10-17 02:30:00,2020-10-17 02:30:00,23022
2020-10-17 03:00:00,2020-10-17 03:00:00,22970
2020-10-17 03:30:00,2020-10-17 03:30:00,22746
2020-10-17 04:00:00,2020-10-17 04:00:00,22681
2020-10-17 04:30:00,2020-10-17 04:30:00,22628
2020-10-17 05:00:00,2020-10-17 05:00:00,22544
2020-10-17 05:30:00,2020-10-17 05:30:00,22928
2020-10-17 06:00:00,2020-10-17 06:00:00,23579
2020-10-17 06:30:00,2020-10-17 06:30:00,24840
2020-10-17 07:00:00,2020-10-17 07:00:00,26358
2020-10-17 07:30:00,2020-10-17 07:30:00,27550
2020-10-17 08:00:00,2020-10-17 08:00:00,29121
2020-10-17 08:30:00,2020-10-17 08:30:00,30229
2020-10-17 09:00:00,2020-10-17 09:00:00,31320
2020-10-17 09:30:00,2020-10-17 09:30:00,31672
2020-10-17 10:00:00,2020-10-17 10:00:00,31895
2020-10-17 10:30:00,2020-10-17 10:30:00,31854
2020-10-17 11:00:00,2020-10-17 11:00:00,31860
2020-10-17 11:30:00,2020-10-17 11:30:00,31663
2020-10-17 12:00:00,2020-10-17 12:00:00,31779
2020-10-17 12:30:00,2020-10-17 12:30:00,31624
2020-10-17 13:00:00,2020-10-17 13:00:00,31123
2020-10-17 13:30:00,2020-10-17 13:30:00,30970
2020-10-17 14:00:00,2020-10-17 14:00:00,30743
2020-10-17 14:30:00,2020-10-17 14:30:00,30587
2020-10-17 15:00:00,2020-10-17 15:00:00,30942
2020-10-17 15:30:00,2020-10-17 15:30:00,31357
2020-10-17 16:00:00,2020-10-17 16:00:00,32380
2020-10-17 16:30:00,2020-10-17 16:30:00,33650
2020-10-17 17:00:00,2020-10-17 17:00:00,35121
2020-10-17 17:30:00,2020-10-17 17:30:00,35981
2020-10-17 18:00:00,2020-10-17 18:00:00,36513
2020-10-17 18:30:00,2020-10-17 18:30:00,36945
2020-10-17 19:00:00,2020-10-17 19:00:00,36541
2020-10-17 19:30:00,2020-10-17 19:30:00,35351
2020-10-17 20:00:00,2020-10-17 20:00:00,33996
2020-10-17 20:30:00,2020-10-17 20:30:00,32755
2020-10-17 21:00:00,2020-10-17 21:00:00,31162
2020-10-17 21:30:00,2020-10-17 21:30:00,29640
2020-10-17 22:00:00,2020-10-17 22:00:00,28123
2020-10-17 22:30:00,2020-10-17 22:30:00,26888
2020-10-17 23:00:00,2020-10-17 23:00:00,25358
2020-10-17 23:30:00,2020-10-17 23:30:00,24092
