ds,timestamp,y_gt
2020-11-25 00:00:00,2020-11-25 00:00:00,25248
2020-11-25 00:30:00,2020-11-25 00:30:00,25418
2020-11-25 01:00:00,2020-11-25 01:00:00,25550
2020-11-25 01:30:00,2020-11-25 01:30:00,25367
2020-11-25 02:00:00,2020-11-25 02:00:00,25387
2020-11-25 02:30:00,2020-11-25 02:30:00,25205
2020-11-25 03:00:00,2020-11-25 03:00:00,24758
2020-11-25 03:30:00,2020-11-25 03:30:00,24546
2020-11-25 04:00:00,2020-11-25 04:00:00,24118
2020-11-25 04:30:00,2020-11-25 04:30:00,23962
2020-11-25 05:00:00,2020-11-25 05:00:00,23944
2020-11-25 05:30:00,2020-11-25 05:30:00,25210
2020-11-25 06:00:00,2020-11-25 06:00:00,27823
2020-11-25 06:30:00,2020-11-25 06:30:00,30666
2020-11-25 07:00:00,2020-11-25 07:00:00,34145
2020-11-25 07:30:00,2020-11-25 07:30:00,36542
2020-11-25 08:00:00,2020-11-25 08:00:00,37104
2020-11-25 08:30:00,2020-11-25 08:30:00,37657
2020-11-25 09:00:00,2020-11-25 09:00:00,38425
2020-11-25 09:30:00,2020-11-25 09:30:00,38752
2020-11-25 10:00:00,2020-11-25 10:00:00,38372
2020-11-25 10:30:00,2020-11-25 10:30:00,38448
2020-11-25 11:00:00,2020-11-25 11:00:00,38471
2020-11-25 11:30:00,2020-11-25 11:30:00,38901
2020-11-25 12:00:00,2020-11-25 12:00:00,39079
2020-11-25 12:30:00,2020-11-25 12:30:00,39037
2020-11-25 13:00:00,2020-11-25 13:00:00,39047
2020-11-25 13:30:00,2020-11-25 13:30:00,38605
2020-11-25 14:00:00,2020-11-25 14:00:00,38237
2020-11-25 14:30:00,2020-11-25 14:30:00,38359
2020-11-25 15:00:00,2020-11-25 15:00:00,38731
2020-11-25 15:30:00,2020-11-25 15:30:00,40192
2020-11-25 16:00:00,2020-11-25 16:00:00,42364
2020-11-25 16:30:00,2020-11-25 16:30:00,43640
2020-11-25 17:00:00,2020-11-25 17:00:00,44213
2020-11-25 17:30:00,2020-11-25 17:30:00,44087
2020-11-25 18:00:00,2020-11-25 18:00:00,43570
2020-11-25 18:30:00,2020-11-25 18:30:00,42715
2020-11-25 19:00:00,2020-11-25 19:00:00,41492
2020-11-25 19:30:00,2020-11-25 19:30:00,40552
2020-11-25 20:00:00,2020-11-25 20:00:00,39006
2020-11-25 20:30:00,2020-11-25 20:30:00,37275
2020-11-25 21:00:00,2020-11-25 21:00:00,35800
2020-11-25 21:30:00,2020-11-25 21:30:00,34014
2020-11-25 22:00:00,2020-11-25 22:00:00,31947
2020-11-25 22:30:00,2020-11-25 22:30:00,30308
2020-11-25 23:00:00,2020-11-25 23:00:00,28727
2020-11-25 23:30:00,2020-11-25 23:30:00,27380
