ds,timestamp,y_gt
2021-01-30 00:00:00,2021-01-30 00:00:00,26453
2021-01-30 00:30:00,2021-01-30 00:30:00,26916
2021-01-30 01:00:00,2021-01-30 01:00:00,26260
2021-01-30 01:30:00,2021-01-30 01:30:00,25479
2021-01-30 02:00:00,2021-01-30 02:00:00,25682
2021-01-30 02:30:00,2021-01-30 02:30:00,25407
2021-01-30 03:00:00,2021-01-30 03:00:00,24980
2021-01-30 03:30:00,2021-01-30 03:30:00,24539
2021-01-30 04:00:00,2021-01-30 04:00:00,23997
2021-01-30 04:30:00,2021-01-30 04:30:00,23790
2021-01-30 05:00:00,2021-01-30 05:00:00,24390
2021-01-30 05:30:00,2021-01-30 05:30:00,24599
2021-01-30 06:00:00,2021-01-30 06:00:00,25829
2021-01-30 06:30:00,2021-01-30 06:30:00,26248
2021-01-30 07:00:00,2021-01-30 07:00:00,26530
2021-01-30 07:30:00,2021-01-30 07:30:00,27142
2021-01-30 08:00:00,2021-01-30 08:00:00,28165
2021-01-30 08:30:00,2021-01-30 08:30:00,29575
2021-01-30 09:00:00,2021-01-30 09:00:00,31271
2021-01-30 09:30:00,2021-01-30 09:30:00,31960
2021-01-30 10:00:00,2021-01-30 10:00:00,32960
2021-01-30 10:30:00,2021-01-30 10:30:00,33391
2021-01-30 11:00:00,2021-01-30 11:00:00,33868
2021-01-30 11:30:00,2021-01-30 11:30:00,34044
2021-01-30 12:00:00,2021-01-30 12:00:00,34303
2021-01-30 12:30:00,2021-01-30 12:30:00,34395
2021-01-30 13:00:00,2021-01-30 13:00:00,34473
2021-01-30 13:30:00,2021-01-30 13:30:00,33854
2021-01-30 14:00:00,2021-01-30 14:00:00,33660
2021-01-30 14:30:00,2021-01-30 14:30:00,33643
2021-01-30 15:00:00,2021-01-30 15:00:00,34116
2021-01-30 15:30:00,2021-01-30 15:30:00,34549
2021-01-30 16:00:00,2021-01-30 16:00:00,35204
2021-01-30 16:30:00,2021-01-30 16:30:00,36885
2021-01-30 17:00:00,2021-01-30 17:00:00,39100
2021-01-30 17:30:00,2021-01-30 17:30:00,39470
2021-01-30 18:00:00,2021-01-30 18:00:00,39061
2021-01-30 18:30:00,2021-01-30 18:30:00,38011
2021-01-30 19:00:00,2021-01-30 19:00:00,36836
2021-01-30 19:30:00,2021-01-30 19:30:00,35669
2021-01-30 20:00:00,2021-01-30 20:00:00,34494
2021-01-30 20:30:00,2021-01-30 20:30:00,33413
2021-01-30 21:00:00,2021-01-30 21:00:00,32299
2021-01-30 21:30:00,2021-01-30 21:30:00,31219
2021-01-30 22:00:00,2021-01-30 22:00:00,30142
2021-01-30 22:30:00,2021-01-30 22:30:00,29038
2021-01-30 23:00:00,2021-01-30 23:00:00,27512
2021-01-30 23:30:00,2021-01-30 23:30:00,26657
2021-01-31 00:00:00,2021-01-31 00:00:00,26615
2021-01-31 00:30:00,2021-01-31 00:30:00,27138
2021-01-31 01:00:00,2021-01-31 01:00:00,26855
2021-01-31 01:30:00,2021-01-31 01:30:00,26249
2021-01-31 02:00:00,2021-01-31 02:00:00,26151
2021-01-31 02:30:00,2021-01-31 02:30:00,26274
2021-01-31 03:00:00,2021-01-31 03:00:00,26013
2021-01-31 03:30:00,2021-01-31 03:30:00,25677
2021-01-31 04:00:00,2021-01-31 04:00:00,25349
2021-01-31 04:30:00,2021-01-31 04:30:00,25139
2021-01-31 05:00:00,2021-01-31 05:00:00,25190
2021-01-31 05:30:00,2021-01-31 05:30:00,25181
2021-01-31 06:00:00,2021-01-31 06:00:00,25650
2021-01-31 06:30:00,2021-01-31 06:30:00,26296
2021-01-31 07:00:00,2021-01-31 07:00:00,27519
2021-01-31 07:30:00,2021-01-31 07:30:00,27774
2021-01-31 08:00:00,2021-01-31 08:00:00,28819
2021-01-31 08:30:00,2021-01-31 08:30:00,29559
2021-01-31 09:00:00,2021-01-31 09:00:00,30610
2021-01-31 09:30:00,2021-01-31 09:30:00,31794
2021-01-31 10:00:00,2021-01-31 10:00:00,32653
2021-01-31 10:30:00,2021-01-31 10:30:00,33558
2021-01-31 11:00:00,2021-01-31 11:00:00,34434
2021-01-31 11:30:00,2021-01-31 11:30:00,35416
2021-01-31 12:00:00,2021-01-31 12:00:00,36405
2021-01-31 12:30:00,2021-01-31 12:30:00,36940
2021-01-31 13:00:00,2021-01-31 13:00:00,37374
