ds,timestamp,y_gt
2020-09-26 00:00:00,2020-09-26 00:00:00,21587
2020-09-26 00:30:00,2020-09-26 00:30:00,21110
2020-09-26 01:00:00,2020-09-26 01:00:00,20806
2020-09-26 01:30:00,2020-09-26 01:30:00,20734
2020-09-26 02:00:00,2020-09-26 02:00:00,20733
2020-09-26 02:30:00,2020-09-26 02:30:00,20706
2020-09-26 03:00:00,2020-09-26 03:00:00,20683
2020-09-26 03:30:00,2020-09-26 03:30:00,20807
2020-09-26 04:00:00,2020-09-26 04:00:00,21079
2020-09-26 04:30:00,2020-09-26 04:30:00,21578
2020-09-26 05:00:00,2020-09-26 05:00:00,22119
2020-09-26 05:30:00,2020-09-26 05:30:00,22430
2020-09-26 06:00:00,2020-09-26 06:00:00,23307
2020-09-26 06:30:00,2020-09-26 06:30:00,23772
2020-09-26 07:00:00,2020-09-26 07:00:00,23997
2020-09-26 07:30:00,2020-09-26 07:30:00,24715
2020-09-26 08:00:00,2020-09-26 08:00:00,26224
2020-09-26 08:30:00,2020-09-26 08:30:00,26569
2020-09-26 09:00:00,2020-09-26 09:00:00,26834
2020-09-26 09:30:00,2020-09-26 09:30:00,26454
2020-09-26 10:00:00,2020-09-26 10:00:00,25996
2020-09-26 10:30:00,2020-09-26 10:30:00,25592
2020-09-26 11:00:00,2020-09-26 11:00:00,25353
2020-09-26 11:30:00,2020-09-26 11:30:00,25389
2020-09-26 12:00:00,2020-09-26 12:00:00,25584
2020-09-26 12:30:00,2020-09-26 12:30:00,25692
2020-09-26 13:00:00,2020-09-26 13:00:00,25456
2020-09-26 13:30:00,2020-09-26 13:30:00,25394
2020-09-26 14:00:00,2020-09-26 14:00:00,25145
2020-09-26 14:30:00,2020-09-26 14:30:00,25134
2020-09-26 15:00:00,2020-09-26 15:00:00,25490
2020-09-26 15:30:00,2020-09-26 15:30:00,26179
2020-09-26 16:00:00,2020-09-26 16:00:00,27067
2020-09-26 16:30:00,2020-09-26 16:30:00,28146
2020-09-26 17:00:00,2020-09-26 17:00:00,29826
2020-09-26 17:30:00,2020-09-26 17:30:00,30956
2020-09-26 18:00:00,2020-09-26 18:00:00,31574
2020-09-26 18:30:00,2020-09-26 18:30:00,31956
2020-09-26 19:00:00,2020-09-26 19:00:00,32338
2020-09-26 19:30:00,2020-09-26 19:30:00,31989
2020-09-26 20:00:00,2020-09-26 20:00:00,31089
2020-09-26 20:30:00,2020-09-26 20:30:00,30003
2020-09-26 21:00:00,2020-09-26 21:00:00,29037
2020-09-26 21:30:00,2020-09-26 21:30:00,27873
2020-09-26 22:00:00,2020-09-26 22:00:00,26245
2020-09-26 22:30:00,2020-09-26 22:30:00,24810
2020-09-26 23:00:00,2020-09-26 23:00:00,23697
2020-09-26 23:30:00,2020-09-26 23:30:00,22444
