ds,timestamp,y_gt
2020-09-22 00:00:00,2020-09-22 00:00:00,23176
2020-09-22 00:30:00,2020-09-22 00:30:00,22398
2020-09-22 01:00:00,2020-09-22 01:00:00,22321
2020-09-22 01:30:00,2020-09-22 01:30:00,22189
2020-09-22 02:00:00,2020-09-22 02:00:00,22269
2020-09-22 02:30:00,2020-09-22 02:30:00,22219
2020-09-22 03:00:00,2020-09-22 03:00:00,22469
2020-09-22 03:30:00,2020-09-22 03:30:00,22176
2020-09-22 04:00:00,2020-09-22 04:00:00,22327
2020-09-22 04:30:00,2020-09-22 04:30:00,22544
2020-09-22 05:00:00,2020-09-22 05:00:00,22883
2020-09-22 05:30:00,2020-09-22 05:30:00,23874
2020-09-22 06:00:00,2020-09-22 06:00:00,26257
2020-09-22 06:30:00,2020-09-22 06:30:00,28354
2020-09-22 07:00:00,2020-09-22 07:00:00,29931
2020-09-22 07:30:00,2020-09-22 07:30:00,31136
2020-09-22 08:00:00,2020-09-22 08:00:00,31247
2020-09-22 08:30:00,2020-09-22 08:30:00,30995
2020-09-22 09:00:00,2020-09-22 09:00:00,31122
2020-09-22 09:30:00,2020-09-22 09:30:00,30867
2020-09-22 10:00:00,2020-09-22 10:00:00,30443
2020-09-22 10:30:00,2020-09-22 10:30:00,30256
2020-09-22 11:00:00,2020-09-22 11:00:00,29748
2020-09-22 11:30:00,2020-09-22 11:30:00,29927
2020-09-22 12:00:00,2020-09-22 12:00:00,28811
2020-09-22 12:30:00,2020-09-22 12:30:00,30132
2020-09-22 13:00:00,2020-09-22 13:00:00,29754
2020-09-22 13:30:00,2020-09-22 13:30:00,29566
2020-09-22 14:00:00,2020-09-22 14:00:00,29559
2020-09-22 14:30:00,2020-09-22 14:30:00,29721
2020-09-22 15:00:00,2020-09-22 15:00:00,30233
2020-09-22 15:30:00,2020-09-22 15:30:00,31018
2020-09-22 16:00:00,2020-09-22 16:00:00,32623
2020-09-22 16:30:00,2020-09-22 16:30:00,33325
2020-09-22 17:00:00,2020-09-22 17:00:00,34492
2020-09-22 17:30:00,2020-09-22 17:30:00,34993
2020-09-22 18:00:00,2020-09-22 18:00:00,35169
2020-09-22 18:30:00,2020-09-22 18:30:00,35272
2020-09-22 19:00:00,2020-09-22 19:00:00,35942
2020-09-22 19:30:00,2020-09-22 19:30:00,35698
2020-09-22 20:00:00,2020-09-22 20:00:00,33600
2020-09-22 20:30:00,2020-09-22 20:30:00,32453
2020-09-22 21:00:00,2020-09-22 21:00:00,32426
2020-09-22 21:30:00,2020-09-22 21:30:00,30829
2020-09-22 22:00:00,2020-09-22 22:00:00,29131
2020-09-22 22:30:00,2020-09-22 22:30:00,27629
2020-09-22 23:00:00,2020-09-22 23:00:00,25466
2020-09-22 23:30:00,2020-09-22 23:30:00,24092
