ds,timestamp,y_gt
2020-08-31 00:00:00,2020-08-31 00:00:00,22193
2020-08-31 00:30:00,2020-08-31 00:30:00,21906
2020-08-31 01:00:00,2020-08-31 01:00:00,22014
2020-08-31 01:30:00,2020-08-31 01:30:00,21723
2020-08-31 02:00:00,2020-08-31 02:00:00,21648
2020-08-31 02:30:00,2020-08-31 02:30:00,21700
2020-08-31 03:00:00,2020-08-31 03:00:00,21437
2020-08-31 03:30:00,2020-08-31 03:30:00,21438
2020-08-31 04:00:00,2020-08-31 04:00:00,21264
2020-08-31 04:30:00,2020-08-31 04:30:00,21240
2020-08-31 05:00:00,2020-08-31 05:00:00,20279
2020-08-31 05:30:00,2020-08-31 05:30:00,20543
2020-08-31 06:00:00,2020-08-31 06:00:00,21142
2020-08-31 06:30:00,2020-08-31 06:30:00,22098
2020-08-31 07:00:00,2020-08-31 07:00:00,23060
2020-08-31 07:30:00,2020-08-31 07:30:00,23547
2020-08-31 08:00:00,2020-08-31 08:00:00,24490
2020-08-31 08:30:00,2020-08-31 08:30:00,25159
2020-08-31 09:00:00,2020-08-31 09:00:00,25433
2020-08-31 09:30:00,2020-08-31 09:30:00,25442
2020-08-31 10:00:00,2020-08-31 10:00:00,24868
2020-08-31 10:30:00,2020-08-31 10:30:00,24539
2020-08-31 11:00:00,2020-08-31 11:00:00,23802
2020-08-31 11:30:00,2020-08-31 11:30:00,24081
2020-08-31 12:00:00,2020-08-31 12:00:00,24892
2020-08-31 12:30:00,2020-08-31 12:30:00,24868
2020-08-31 13:00:00,2020-08-31 13:00:00,24438
2020-08-31 13:30:00,2020-08-31 13:30:00,24413
2020-08-31 14:00:00,2020-08-31 14:00:00,24455
2020-08-31 14:30:00,2020-08-31 14:30:00,24389
2020-08-31 15:00:00,2020-08-31 15:00:00,24957
2020-08-31 15:30:00,2020-08-31 15:30:00,25334
2020-08-31 16:00:00,2020-08-31 16:00:00,26134
2020-08-31 16:30:00,2020-08-31 16:30:00,27177
2020-08-31 17:00:00,2020-08-31 17:00:00,28382
2020-08-31 17:30:00,2020-08-31 17:30:00,29293
2020-08-31 18:00:00,2020-08-31 18:00:00,29690
2020-08-31 18:30:00,2020-08-31 18:30:00,29888
2020-08-31 19:00:00,2020-08-31 19:00:00,29621
2020-08-31 19:30:00,2020-08-31 19:30:00,29430
2020-08-31 20:00:00,2020-08-31 20:00:00,30018
2020-08-31 20:30:00,2020-08-31 20:30:00,29945
2020-08-31 21:00:00,2020-08-31 21:00:00,29043
2020-08-31 21:30:00,2020-08-31 21:30:00,27663
2020-08-31 22:00:00,2020-08-31 22:00:00,26565
2020-08-31 22:30:00,2020-08-31 22:30:00,24838
2020-08-31 23:00:00,2020-08-31 23:00:00,23439
2020-08-31 23:30:00,2020-08-31 23:30:00,22236
