ds,timestamp,y_gt
2020-10-21 00:00:00,2020-10-21 00:00:00,22716
2020-10-21 00:30:00,2020-10-21 00:30:00,22875
2020-10-21 01:00:00,2020-10-21 01:00:00,22871
2020-10-21 01:30:00,2020-10-21 01:30:00,23264
2020-10-21 02:00:00,2020-10-21 02:00:00,23409
2020-10-21 02:30:00,2020-10-21 02:30:00,22960
2020-10-21 03:00:00,2020-10-21 03:00:00,22347
2020-10-21 03:30:00,2020-10-21 03:30:00,22417
2020-10-21 04:00:00,2020-10-21 04:00:00,22424
2020-10-21 04:30:00,2020-10-21 04:30:00,22351
2020-10-21 05:00:00,2020-10-21 05:00:00,22972
2020-10-21 05:30:00,2020-10-21 05:30:00,23887
2020-10-21 06:00:00,2020-10-21 06:00:00,26143
2020-10-21 06:30:00,2020-10-21 06:30:00,28517
2020-10-21 07:00:00,2020-10-21 07:00:00,31890
2020-10-21 07:30:00,2020-10-21 07:30:00,34467
2020-10-21 08:00:00,2020-10-21 08:00:00,36209
2020-10-21 08:30:00,2020-10-21 08:30:00,36396
2020-10-21 09:00:00,2020-10-21 09:00:00,36893
2020-10-21 09:30:00,2020-10-21 09:30:00,37088
2020-10-21 10:00:00,2020-10-21 10:00:00,37231
2020-10-21 10:30:00,2020-10-21 10:30:00,37363
2020-10-21 11:00:00,2020-10-21 11:00:00,37215
2020-10-21 11:30:00,2020-10-21 11:30:00,36947
2020-10-21 12:00:00,2020-10-21 12:00:00,37001
2020-10-21 12:30:00,2020-10-21 12:30:00,36778
2020-10-21 13:00:00,2020-10-21 13:00:00,36282
2020-10-21 13:30:00,2020-10-21 13:30:00,35453
2020-10-21 14:00:00,2020-10-21 14:00:00,35330
2020-10-21 14:30:00,2020-10-21 14:30:00,35099
2020-10-21 15:00:00,2020-10-21 15:00:00,35150
2020-10-21 15:30:00,2020-10-21 15:30:00,35875
2020-10-21 16:00:00,2020-10-21 16:00:00,36462
2020-10-21 16:30:00,2020-10-21 16:30:00,37343
2020-10-21 17:00:00,2020-10-21 17:00:00,38391
2020-10-21 17:30:00,2020-10-21 17:30:00,39114
2020-10-21 18:00:00,2020-10-21 18:00:00,40079
2020-10-21 18:30:00,2020-10-21 18:30:00,39839
2020-10-21 19:00:00,2020-10-21 19:00:00,38806
2020-10-21 19:30:00,2020-10-21 19:30:00,37417
2020-10-21 20:00:00,2020-10-21 20:00:00,35767
2020-10-21 20:30:00,2020-10-21 20:30:00,34199
2020-10-21 21:00:00,2020-10-21 21:00:00,32558
2020-10-21 21:30:00,2020-10-21 21:30:00,30844
2020-10-21 22:00:00,2020-10-21 22:00:00,28921
2020-10-21 22:30:00,2020-10-21 22:30:00,27018
2020-10-21 23:00:00,2020-10-21 23:00:00,25410
2020-10-21 23:30:00,2020-10-21 23:30:00,24281
