ds,timestamp,y_gt
2020-11-10 00:00:00,2020-11-10 00:00:00,25692
2020-11-10 00:30:00,2020-11-10 00:30:00,26048
2020-11-10 01:00:00,2020-11-10 01:00:00,25975
2020-11-10 01:30:00,2020-11-10 01:30:00,25342
2020-11-10 02:00:00,2020-11-10 02:00:00,24703
2020-11-10 02:30:00,2020-11-10 02:30:00,24626
2020-11-10 03:00:00,2020-11-10 03:00:00,24440
2020-11-10 03:30:00,2020-11-10 03:30:00,24146
2020-11-10 04:00:00,2020-11-10 04:00:00,24065
2020-11-10 04:30:00,2020-11-10 04:30:00,24411
2020-11-10 05:00:00,2020-11-10 05:00:00,24149
2020-11-10 05:30:00,2020-11-10 05:30:00,25273
2020-11-10 06:00:00,2020-11-10 06:00:00,27223
2020-11-10 06:30:00,2020-11-10 06:30:00,29375
2020-11-10 07:00:00,2020-11-10 07:00:00,32798
2020-11-10 07:30:00,2020-11-10 07:30:00,34287
2020-11-10 08:00:00,2020-11-10 08:00:00,35301
2020-11-10 08:30:00,2020-11-10 08:30:00,35363
2020-11-10 09:00:00,2020-11-10 09:00:00,35709
2020-11-10 09:30:00,2020-11-10 09:30:00,35374
2020-11-10 10:00:00,2020-11-10 10:00:00,35085
2020-11-10 10:30:00,2020-11-10 10:30:00,34894
2020-11-10 11:00:00,2020-11-10 11:00:00,34674
2020-11-10 11:30:00,2020-11-10 11:30:00,34566
2020-11-10 12:00:00,2020-11-10 12:00:00,34636
2020-11-10 12:30:00,2020-11-10 12:30:00,34535
2020-11-10 13:00:00,2020-11-10 13:00:00,34412
2020-11-10 13:30:00,2020-11-10 13:30:00,34241
2020-11-10 14:00:00,2020-11-10 14:00:00,34830
2020-11-10 14:30:00,2020-11-10 14:30:00,35054
2020-11-10 15:00:00,2020-11-10 15:00:00,35413
2020-11-10 15:30:00,2020-11-10 15:30:00,36718
2020-11-10 16:00:00,2020-11-10 16:00:00,37922
2020-11-10 16:30:00,2020-11-10 16:30:00,39766
2020-11-10 17:00:00,2020-11-10 17:00:00,41252
2020-11-10 17:30:00,2020-11-10 17:30:00,41424
2020-11-10 18:00:00,2020-11-10 18:00:00,40486
2020-11-10 18:30:00,2020-11-10 18:30:00,39469
2020-11-10 19:00:00,2020-11-10 19:00:00,37950
2020-11-10 19:30:00,2020-11-10 19:30:00,36453
2020-11-10 20:00:00,2020-11-10 20:00:00,35056
2020-11-10 20:30:00,2020-11-10 20:30:00,33453
2020-11-10 21:00:00,2020-11-10 21:00:00,31651
2020-11-10 21:30:00,2020-11-10 21:30:00,30159
2020-11-10 22:00:00,2020-11-10 22:00:00,28362
2020-11-10 22:30:00,2020-11-10 22:30:00,26900
2020-11-10 23:00:00,2020-11-10 23:00:00,25246
2020-11-10 23:30:00,2020-11-10 23:30:00,24239
