ds,timestamp,y_gt
2020-11-16 00:00:00,2020-11-16 00:00:00,23203
2020-11-16 00:30:00,2020-11-16 00:30:00,23483
2020-11-16 01:00:00,2020-11-16 01:00:00,23148
2020-11-16 01:30:00,2020-11-16 01:30:00,22574
2020-11-16 02:00:00,2020-11-16 02:00:00,22100
2020-11-16 02:30:00,2020-11-16 02:30:00,21933
2020-11-16 03:00:00,2020-11-16 03:00:00,22273
2020-11-16 03:30:00,2020-11-16 03:30:00,21982
2020-11-16 04:00:00,2020-11-16 04:00:00,21550
2020-11-16 04:30:00,2020-11-16 04:30:00,21826
2020-11-16 05:00:00,2020-11-16 05:00:00,21126
2020-11-16 05:30:00,2020-11-16 05:30:00,21347
2020-11-16 06:00:00,2020-11-16 06:00:00,23996
2020-11-16 06:30:00,2020-11-16 06:30:00,26304
2020-11-16 07:00:00,2020-11-16 07:00:00,29570
2020-11-16 07:30:00,2020-11-16 07:30:00,31357
2020-11-16 08:00:00,2020-11-16 08:00:00,32454
2020-11-16 08:30:00,2020-11-16 08:30:00,33748
2020-11-16 09:00:00,2020-11-16 09:00:00,32291
2020-11-16 09:30:00,2020-11-16 09:30:00,34667
2020-11-16 10:00:00,2020-11-16 10:00:00,34189
2020-11-16 10:30:00,2020-11-16 10:30:00,34249
2020-11-16 11:00:00,2020-11-16 11:00:00,34221
2020-11-16 11:30:00,2020-11-16 11:30:00,34313
2020-11-16 12:00:00,2020-11-16 12:00:00,34685
2020-11-16 12:30:00,2020-11-16 12:30:00,34896
2020-11-16 13:00:00,2020-11-16 13:00:00,35155
2020-11-16 13:30:00,2020-11-16 13:30:00,35169
2020-11-16 14:00:00,2020-11-16 14:00:00,35556
2020-11-16 14:30:00,2020-11-16 14:30:00,35824
2020-11-16 15:00:00,2020-11-16 15:00:00,36326
2020-11-16 15:30:00,2020-11-16 15:30:00,37386
2020-11-16 16:00:00,2020-11-16 16:00:00,38862
2020-11-16 16:30:00,2020-11-16 16:30:00,40773
2020-11-16 17:00:00,2020-11-16 17:00:00,41208
2020-11-16 17:30:00,2020-11-16 17:30:00,40631
2020-11-16 18:00:00,2020-11-16 18:00:00,40194
2020-11-16 18:30:00,2020-11-16 18:30:00,39092
2020-11-16 19:00:00,2020-11-16 19:00:00,37479
2020-11-16 19:30:00,2020-11-16 19:30:00,35458
2020-11-16 20:00:00,2020-11-16 20:00:00,34048
2020-11-16 20:30:00,2020-11-16 20:30:00,32663
2020-11-16 21:00:00,2020-11-16 21:00:00,30908
2020-11-16 21:30:00,2020-11-16 21:30:00,29084
2020-11-16 22:00:00,2020-11-16 22:00:00,27008
2020-11-16 22:30:00,2020-11-16 22:30:00,25625
2020-11-16 23:00:00,2020-11-16 23:00:00,23382
2020-11-16 23:30:00,2020-11-16 23:30:00,22500
