ds,timestamp,y_gt
2020-09-03 00:00:00,2020-09-03 00:00:00,20766
2020-09-03 00:30:00,2020-09-03 00:30:00,20131
2020-09-03 01:00:00,2020-09-03 01:00:00,20570
2020-09-03 01:30:00,2020-09-03 01:30:00,20889
2020-09-03 02:00:00,2020-09-03 02:00:00,20316
2020-09-03 02:30:00,2020-09-03 02:30:00,20327
2020-09-03 03:00:00,2020-09-03 03:00:00,20559
2020-09-03 03:30:00,2020-09-03 03:30:00,20522
2020-09-03 04:00:00,2020-09-03 04:00:00,20336
2020-09-03 04:30:00,2020-09-03 04:30:00,20167
2020-09-03 05:00:00,2020-09-03 05:00:00,19962
2020-09-03 05:30:00,2020-09-03 05:30:00,20443
2020-09-03 06:00:00,2020-09-03 06:00:00,22463
2020-09-03 06:30:00,2020-09-03 06:30:00,24311
2020-09-03 07:00:00,2020-09-03 07:00:00,27490
2020-09-03 07:30:00,2020-09-03 07:30:00,28848
2020-09-03 08:00:00,2020-09-03 08:00:00,29331
2020-09-03 08:30:00,2020-09-03 08:30:00,29823
2020-09-03 09:00:00,2020-09-03 09:00:00,30469
2020-09-03 09:30:00,2020-09-03 09:30:00,30494
2020-09-03 10:00:00,2020-09-03 10:00:00,30695
2020-09-03 10:30:00,2020-09-03 10:30:00,30641
2020-09-03 11:00:00,2020-09-03 11:00:00,30720
2020-09-03 11:30:00,2020-09-03 11:30:00,30566
2020-09-03 12:00:00,2020-09-03 12:00:00,30345
2020-09-03 12:30:00,2020-09-03 12:30:00,29741
2020-09-03 13:00:00,2020-09-03 13:00:00,29353
2020-09-03 13:30:00,2020-09-03 13:30:00,28829
2020-09-03 14:00:00,2020-09-03 14:00:00,29161
2020-09-03 14:30:00,2020-09-03 14:30:00,29098
2020-09-03 15:00:00,2020-09-03 15:00:00,29135
2020-09-03 15:30:00,2020-09-03 15:30:00,29456
2020-09-03 16:00:00,2020-09-03 16:00:00,28712
2020-09-03 16:30:00,2020-09-03 16:30:00,29499
2020-09-03 17:00:00,2020-09-03 17:00:00,30559
2020-09-03 17:30:00,2020-09-03 17:30:00,31255
2020-09-03 18:00:00,2020-09-03 18:00:00,31558
2020-09-03 18:30:00,2020-09-03 18:30:00,31682
2020-09-03 19:00:00,2020-09-03 19:00:00,31678
2020-09-03 19:30:00,2020-09-03 19:30:00,31625
2020-09-03 20:00:00,2020-09-03 20:00:00,31363
2020-09-03 20:30:00,2020-09-03 20:30:00,30910
2020-09-03 21:00:00,2020-09-03 21:00:00,29867
2020-09-03 21:30:00,2020-09-03 21:30:00,28341
2020-09-03 22:00:00,2020-09-03 22:00:00,27975
2020-09-03 22:30:00,2020-09-03 22:30:00,26266
2020-09-03 23:00:00,2020-09-03 23:00:00,23922
2020-09-03 23:30:00,2020-09-03 23:30:00,22179
