ds,timestamp,y_gt
2020-11-17 00:00:00,2020-11-17 00:00:00,22912
2020-11-17 00:30:00,2020-11-17 00:30:00,23073
2020-11-17 01:00:00,2020-11-17 01:00:00,23542
2020-11-17 01:30:00,2020-11-17 01:30:00,23320
2020-11-17 02:00:00,2020-11-17 02:00:00,23048
2020-11-17 02:30:00,2020-11-17 02:30:00,22509
2020-11-17 03:00:00,2020-11-17 03:00:00,22546
2020-11-17 03:30:00,2020-11-17 03:30:00,22312
2020-11-17 04:00:00,2020-11-17 04:00:00,22579
2020-11-17 04:30:00,2020-11-17 04:30:00,22854
2020-11-17 05:00:00,2020-11-17 05:00:00,21959
2020-11-17 05:30:00,2020-11-17 05:30:00,22484
2020-11-17 06:00:00,2020-11-17 06:00:00,24150
2020-11-17 06:30:00,2020-11-17 06:30:00,26358
2020-11-17 07:00:00,2020-11-17 07:00:00,29467
2020-11-17 07:30:00,2020-11-17 07:30:00,31095
2020-11-17 08:00:00,2020-11-17 08:00:00,32097
2020-11-17 08:30:00,2020-11-17 08:30:00,31564
2020-11-17 09:00:00,2020-11-17 09:00:00,32757
2020-11-17 09:30:00,2020-11-17 09:30:00,31292
2020-11-17 10:00:00,2020-11-17 10:00:00,32941
2020-11-17 10:30:00,2020-11-17 10:30:00,32656
2020-11-17 11:00:00,2020-11-17 11:00:00,32981
2020-11-17 11:30:00,2020-11-17 11:30:00,32411
2020-11-17 12:00:00,2020-11-17 12:00:00,32361
2020-11-17 12:30:00,2020-11-17 12:30:00,33836
2020-11-17 13:00:00,2020-11-17 13:00:00,33845
2020-11-17 13:30:00,2020-11-17 13:30:00,33679
2020-11-17 14:00:00,2020-11-17 14:00:00,33629
2020-11-17 14:30:00,2020-11-17 14:30:00,33886
2020-11-17 15:00:00,2020-11-17 15:00:00,34250
2020-11-17 15:30:00,2020-11-17 15:30:00,35149
2020-11-17 16:00:00,2020-11-17 16:00:00,36881
2020-11-17 16:30:00,2020-11-17 16:30:00,39026
2020-11-17 17:00:00,2020-11-17 17:00:00,39729
2020-11-17 17:30:00,2020-11-17 17:30:00,39375
2020-11-17 18:00:00,2020-11-17 18:00:00,38894
2020-11-17 18:30:00,2020-11-17 18:30:00,37729
2020-11-17 19:00:00,2020-11-17 19:00:00,36268
2020-11-17 19:30:00,2020-11-17 19:30:00,34704
2020-11-17 20:00:00,2020-11-17 20:00:00,33427
2020-11-17 20:30:00,2020-11-17 20:30:00,32025
2020-11-17 21:00:00,2020-11-17 21:00:00,30264
2020-11-17 21:30:00,2020-11-17 21:30:00,28434
2020-11-17 22:00:00,2020-11-17 22:00:00,26770
2020-11-17 22:30:00,2020-11-17 22:30:00,25169
2020-11-17 23:00:00,2020-11-17 23:00:00,24122
2020-11-17 23:30:00,2020-11-17 23:30:00,23174
