ds,timestamp,y_gt
2020-11-12 00:00:00,2020-11-12 00:00:00,23780
2020-11-12 00:30:00,2020-11-12 00:30:00,24273
2020-11-12 01:00:00,2020-11-12 01:00:00,24062
2020-11-12 01:30:00,2020-11-12 01:30:00,23611
2020-11-12 02:00:00,2020-11-12 02:00:00,23347
2020-11-12 02:30:00,2020-11-12 02:30:00,23083
2020-11-12 03:00:00,2020-11-12 03:00:00,22444
2020-11-12 03:30:00,2020-11-12 03:30:00,22059
2020-11-12 04:00:00,2020-11-12 04:00:00,22374
2020-11-12 04:30:00,2020-11-12 04:30:00,22442
2020-11-12 05:00:00,2020-11-12 05:00:00,22493
2020-11-12 05:30:00,2020-11-12 05:30:00,23178
2020-11-12 06:00:00,2020-11-12 06:00:00,25102
2020-11-12 06:30:00,2020-11-12 06:30:00,27270
2020-11-12 07:00:00,2020-11-12 07:00:00,30542
2020-11-12 07:30:00,2020-11-12 07:30:00,31831
2020-11-12 08:00:00,2020-11-12 08:00:00,32616
2020-11-12 08:30:00,2020-11-12 08:30:00,32429
2020-11-12 09:00:00,2020-11-12 09:00:00,32392
2020-11-12 09:30:00,2020-11-12 09:30:00,32161
2020-11-12 10:00:00,2020-11-12 10:00:00,31514
2020-11-12 10:30:00,2020-11-12 10:30:00,31374
2020-11-12 11:00:00,2020-11-12 11:00:00,31288
2020-11-12 11:30:00,2020-11-12 11:30:00,28012
2020-11-12 12:00:00,2020-11-12 12:00:00,31743
2020-11-12 12:30:00,2020-11-12 12:30:00,31859
2020-11-12 13:00:00,2020-11-12 13:00:00,32019
2020-11-12 13:30:00,2020-11-12 13:30:00,32242
2020-11-12 14:00:00,2020-11-12 14:00:00,32236
2020-11-12 14:30:00,2020-11-12 14:30:00,32660
2020-11-12 15:00:00,2020-11-12 15:00:00,33721
2020-11-12 15:30:00,2020-11-12 15:30:00,34876
2020-11-12 16:00:00,2020-11-12 16:00:00,37165
2020-11-12 16:30:00,2020-11-12 16:30:00,39145
2020-11-12 17:00:00,2020-11-12 17:00:00,39907
2020-11-12 17:30:00,2020-11-12 17:30:00,39947
2020-11-12 18:00:00,2020-11-12 18:00:00,39217
2020-11-12 18:30:00,2020-11-12 18:30:00,38248
2020-11-12 19:00:00,2020-11-12 19:00:00,36758
2020-11-12 19:30:00,2020-11-12 19:30:00,35323
2020-11-12 20:00:00,2020-11-12 20:00:00,33571
2020-11-12 20:30:00,2020-11-12 20:30:00,31922
2020-11-12 21:00:00,2020-11-12 21:00:00,30479
2020-11-12 21:30:00,2020-11-12 21:30:00,28677
2020-11-12 22:00:00,2020-11-12 22:00:00,27023
2020-11-12 22:30:00,2020-11-12 22:30:00,25571
2020-11-12 23:00:00,2020-11-12 23:00:00,23907
2020-11-12 23:30:00,2020-11-12 23:30:00,23182
