ds,timestamp,y_gt
2020-11-18 00:00:00,2020-11-18 00:00:00,23006
2020-11-18 00:30:00,2020-11-18 00:30:00,23390
2020-11-18 01:00:00,2020-11-18 01:00:00,23430
2020-11-18 01:30:00,2020-11-18 01:30:00,23028
2020-11-18 02:00:00,2020-11-18 02:00:00,22709
2020-11-18 02:30:00,2020-11-18 02:30:00,22498
2020-11-18 03:00:00,2020-11-18 03:00:00,22459
2020-11-18 03:30:00,2020-11-18 03:30:00,22236
2020-11-18 04:00:00,2020-11-18 04:00:00,22666
2020-11-18 04:30:00,2020-11-18 04:30:00,22778
2020-11-18 05:00:00,2020-11-18 05:00:00,22159
2020-11-18 05:30:00,2020-11-18 05:30:00,22790
2020-11-18 06:00:00,2020-11-18 06:00:00,24300
2020-11-18 06:30:00,2020-11-18 06:30:00,26082
2020-11-18 07:00:00,2020-11-18 07:00:00,29035
2020-11-18 07:30:00,2020-11-18 07:30:00,30815
2020-11-18 08:00:00,2020-11-18 08:00:00,31584
2020-11-18 08:30:00,2020-11-18 08:30:00,31839
2020-11-18 09:00:00,2020-11-18 09:00:00,32052
2020-11-18 09:30:00,2020-11-18 09:30:00,32057
2020-11-18 10:00:00,2020-11-18 10:00:00,31893
2020-11-18 10:30:00,2020-11-18 10:30:00,32084
2020-11-18 11:00:00,2020-11-18 11:00:00,32304
2020-11-18 11:30:00,2020-11-18 11:30:00,32633
2020-11-18 12:00:00,2020-11-18 12:00:00,33030
2020-11-18 12:30:00,2020-11-18 12:30:00,33090
2020-11-18 13:00:00,2020-11-18 13:00:00,33086
2020-11-18 13:30:00,2020-11-18 13:30:00,32783
2020-11-18 14:00:00,2020-11-18 14:00:00,32648
2020-11-18 14:30:00,2020-11-18 14:30:00,32909
2020-11-18 15:00:00,2020-11-18 15:00:00,33261
2020-11-18 15:30:00,2020-11-18 15:30:00,34491
2020-11-18 16:00:00,2020-11-18 16:00:00,35969
2020-11-18 16:30:00,2020-11-18 16:30:00,38129
2020-11-18 17:00:00,2020-11-18 17:00:00,38984
2020-11-18 17:30:00,2020-11-18 17:30:00,38903
2020-11-18 18:00:00,2020-11-18 18:00:00,38312
2020-11-18 18:30:00,2020-11-18 18:30:00,36866
2020-11-18 19:00:00,2020-11-18 19:00:00,35905
2020-11-18 19:30:00,2020-11-18 19:30:00,34374
2020-11-18 20:00:00,2020-11-18 20:00:00,32748
2020-11-18 20:30:00,2020-11-18 20:30:00,31405
2020-11-18 21:00:00,2020-11-18 21:00:00,29915
2020-11-18 21:30:00,2020-11-18 21:30:00,28214
2020-11-18 22:00:00,2020-11-18 22:00:00,26679
2020-11-18 22:30:00,2020-11-18 22:30:00,25666
2020-11-18 23:00:00,2020-11-18 23:00:00,24490
2020-11-18 23:30:00,2020-11-18 23:30:00,23692
