ds,y_gt
2020-08-10 15:30:00,28318
2020-08-10 16:00:00,29415
2020-08-10 16:30:00,30578
2020-08-10 17:00:00,31690
2020-08-10 17:30:00,32289
2020-08-10 18:00:00,32170
2020-08-10 18:30:00,32262
2020-08-10 19:00:00,31962
2020-08-10 19:30:00,31498
2020-08-10 20:00:00,31249
2020-08-10 20:30:00,31024
2020-08-10 21:00:00,31180
2020-08-10 21:30:00,30293
2020-08-10 22:00:00,29812
2020-08-10 22:30:00,28503
2020-08-10 23:00:00,25617
2020-08-10 23:30:00,24112
