ds,y_gt
2020-08-02 00:00:00,20938
2020-08-02 00:30:00,20272
2020-08-02 01:00:00,19721
2020-08-02 01:30:00,19523
2020-08-02 02:00:00,19197
2020-08-02 02:30:00,18846
2020-08-02 03:00:00,18813
2020-08-02 03:30:00,18567
2020-08-02 04:00:00,18206
2020-08-02 04:30:00,18334
2020-08-02 05:00:00,18750
2020-08-02 05:30:00,18761
2020-08-02 06:00:00,19061
2020-08-02 06:30:00,19154
2020-08-02 07:00:00,19385
2020-08-02 07:30:00,19564
2020-08-02 08:00:00,19578
2020-08-02 08:30:00,19987
2020-08-02 09:00:00,20579
2020-08-02 09:30:00,20938
2020-08-02 10:00:00,21471
2020-08-02 10:30:00,21657
2020-08-02 11:00:00,21698
2020-08-02 11:30:00,21723
2020-08-02 12:00:00,22151
2020-08-02 12:30:00,22201
2020-08-02 13:00:00,21806
2020-08-02 13:30:00,21267
2020-08-02 14:00:00,21160
2020-08-02 14:30:00,20649
2020-08-02 15:00:00,20864
2020-08-02 15:30:00,21070
2020-08-02 16:00:00,22164
2020-08-02 16:30:00,23228
2020-08-02 17:00:00,24449
2020-08-02 17:30:00,25095
2020-08-02 18:00:00,25609
2020-08-02 18:30:00,25905
2020-08-02 19:00:00,26080
2020-08-02 19:30:00,25859
2020-08-02 20:00:00,26267
2020-08-02 20:30:00,26194
2020-08-02 21:00:00,26326
2020-08-02 21:30:00,25775
2020-08-02 22:00:00,25358
2020-08-02 22:30:00,24405
2020-08-02 23:00:00,22677
2020-08-02 23:30:00,21718
2020-08-03 00:00:00,20709
2020-08-03 00:30:00,20198
2020-08-03 01:00:00,19781
2020-08-03 01:30:00,19641
2020-08-03 02:00:00,19427
2020-08-03 02:30:00,19250
2020-08-03 03:00:00,18843
2020-08-03 03:30:00,18671
2020-08-03 04:00:00,19333
2020-08-03 04:30:00,19477
2020-08-03 05:00:00,20186
2020-08-03 05:30:00,20619
2020-08-03 06:00:00,21781
2020-08-03 06:30:00,22928
2020-08-03 07:00:00,25130
2020-08-03 07:30:00,26491
2020-08-03 08:00:00,26387
2020-08-03 08:30:00,26441
2020-08-03 09:00:00,26488
2020-08-03 09:30:00,26155
2020-08-03 10:00:00,25992
2020-08-03 10:30:00,25824
2020-08-03 11:00:00,26114
2020-08-03 11:30:00,26239
2020-08-03 12:00:00,26397
2020-08-03 12:30:00,26520
2020-08-03 13:00:00,26271
2020-08-03 13:30:00,26032
2020-08-03 14:00:00,26472
2020-08-03 14:30:00,26294
2020-08-03 15:00:00,26372
2020-08-03 15:30:00,26553
2020-08-03 16:00:00,26101
2020-08-03 16:30:00,27030
2020-08-03 17:00:00,27964
2020-08-03 17:30:00,28747
2020-08-03 18:00:00,29197
2020-08-03 18:30:00,29211
2020-08-03 19:00:00,29474
2020-08-03 19:30:00,29154
2020-08-03 20:00:00,28632
