ds,y_gt
2020-08-03 20:30:00,28464
2020-08-03 21:00:00,28714
2020-08-03 21:30:00,28028
2020-08-03 22:00:00,26970
2020-08-03 22:30:00,25492
2020-08-03 23:00:00,23976
2020-08-03 23:30:00,22911
2020-08-04 00:00:00,21805
2020-08-04 00:30:00,21059
2020-08-04 01:00:00,20615
2020-08-04 01:30:00,20405
2020-08-04 02:00:00,20280
2020-08-04 02:30:00,20099
2020-08-04 03:00:00,19842
2020-08-04 03:30:00,19859
2020-08-04 04:00:00,20303
2020-08-04 04:30:00,20224
2020-08-04 05:00:00,21450
2020-08-04 05:30:00,21733
2020-08-04 06:00:00,22811
2020-08-04 06:30:00,24156
2020-08-04 07:00:00,24823
2020-08-04 07:30:00,25796
2020-08-04 08:00:00,26891
2020-08-04 08:30:00,27262
2020-08-04 09:00:00,28181
2020-08-04 09:30:00,27983
2020-08-04 10:00:00,28147
2020-08-04 10:30:00,28316
2020-08-04 11:00:00,28256
2020-08-04 11:30:00,28320
2020-08-04 12:00:00,28593
2020-08-04 12:30:00,28478
2020-08-04 13:00:00,28526
2020-08-04 13:30:00,28022
2020-08-04 14:00:00,27709
2020-08-04 14:30:00,27504
2020-08-04 15:00:00,27045
2020-08-04 15:30:00,26911
2020-08-04 16:00:00,27276
2020-08-04 16:30:00,28250
2020-08-04 17:00:00,28513
2020-08-04 17:30:00,29017
2020-08-04 18:00:00,29275
2020-08-04 18:30:00,29268
2020-08-04 19:00:00,28909
2020-08-04 19:30:00,28611
2020-08-04 20:00:00,28441
2020-08-04 20:30:00,28125
2020-08-04 21:00:00,28391
2020-08-04 21:30:00,27584
2020-08-04 22:00:00,25896
2020-08-04 22:30:00,24218
2020-08-04 23:00:00,22931
2020-08-04 23:30:00,22122
2020-08-05 00:00:00,21056
2020-08-05 00:30:00,20470
2020-08-05 01:00:00,20322
2020-08-05 01:30:00,20129
2020-08-05 02:00:00,20101
2020-08-05 02:30:00,20174
2020-08-05 03:00:00,19769
2020-08-05 03:30:00,19643
2020-08-05 04:00:00,19717
2020-08-05 04:30:00,19975
2020-08-05 05:00:00,20172
2020-08-05 05:30:00,20008
2020-08-05 06:00:00,20319
2020-08-05 06:30:00,21838
2020-08-05 07:00:00,24397
2020-08-05 07:30:00,25350
2020-08-05 08:00:00,25864
2020-08-05 08:30:00,26408
2020-08-05 09:00:00,26926
2020-08-05 09:30:00,26932
2020-08-05 10:00:00,26726
2020-08-05 10:30:00,26666
2020-08-05 11:00:00,26631
2020-08-05 11:30:00,26666
2020-08-05 12:00:00,26926
2020-08-05 12:30:00,26637
2020-08-05 13:00:00,26218
2020-08-05 13:30:00,25855
2020-08-05 14:00:00,26053
2020-08-05 14:30:00,25888
2020-08-05 15:00:00,26160
2020-08-05 15:30:00,26748
2020-08-05 16:00:00,27479
2020-08-05 16:30:00,28144
2020-08-05 17:00:00,29115
2020-08-05 17:30:00,29703
2020-08-05 18:00:00,29864
2020-08-05 18:30:00,29790
2020-08-05 19:00:00,29608
2020-08-05 19:30:00,29261
2020-08-05 20:00:00,29134
2020-08-05 20:30:00,28910
2020-08-05 21:00:00,28998
2020-08-05 21:30:00,28022
2020-08-05 22:00:00,27085
2020-08-05 22:30:00,25781
2020-08-05 23:00:00,24462
2020-08-05 23:30:00,23352
2020-08-06 00:00:00,22433
2020-08-06 00:30:00,21871
2020-08-06 01:00:00,21875
2020-08-06 01:30:00,21719
2020-08-06 02:00:00,21778
2020-08-06 02:30:00,21434
2020-08-06 03:00:00,21489
2020-08-06 03:30:00,21383
2020-08-06 04:00:00,20807
2020-08-06 04:30:00,20795
2020-08-06 05:00:00,20688
2020-08-06 05:30:00,21155
2020-08-06 06:00:00,22853
2020-08-06 06:30:00,24329
2020-08-06 07:00:00,26209
2020-08-06 07:30:00,27261
2020-08-06 08:00:00,28805
2020-08-06 08:30:00,29594
2020-08-06 09:00:00,30349
2020-08-06 09:30:00,30373
2020-08-06 10:00:00,25677
2020-08-06 10:30:00,3272
2020-08-06 11:00:00,30047
2020-08-06 11:30:00,29743
